user_handle,problem_id,timestamp,problem_rating,problem_tags
skittles1412,281:A,1596079609,800,"['implementation', 'strings']"
skittles1412,339:A,1596071416,800,"['greedy', 'implementation', 'sortings', 'strings']"
skittles1412,864:A,1595996733,1000,"['implementation', 'sortings']"
skittles1412,964:B,1595990252,1300,['math']
skittles1412,1131:C,1595980819,1200,"['binary search', 'greedy', 'sortings']"
skittles1412,1324:D,1595980082,1400,"['binary search', 'data structures', 'sortings', 'two pointers']"
skittles1412,1329:A,1595955416,1800,"['constructive algorithms', 'greedy', 'implementation', 'math']"
skittles1412,1333:D,1595952733,2100,"['brute force', 'constructive algorithms', 'games', 'graphs', 'greedy', 'implementation', 'sortings']"
skittles1412,1344:B,1595906129,2000,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs']"
skittles1412,1342:D,1595905405,1900,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'sortings', 'two pointers']"
skittles1412,1360:H,1595901894,2100,"['binary search', 'bitmasks', 'brute force', 'constructive algorithms']"
skittles1412,876:C,1595889209,1200,"['brute force', 'math']"
skittles1412,32:D,1595888951,1600,['implementation']
skittles1412,31:C,1595876336,1700,['implementation']
skittles1412,598:B,1595876023,1300,"['implementation', 'strings']"
skittles1412,861:B,1595873217,1500,"['brute force', 'implementation']"
skittles1412,846:B,1595872343,1800,"['brute force', 'greedy']"
skittles1412,817:C,1595823921,1600,"['binary search', 'brute force', 'dp', 'math']"
skittles1412,813:B,1595807887,1800,"['brute force', 'math']"
skittles1412,877:B,1595805841,1500,"['brute force', 'dp']"
skittles1412,55:B,1595805515,1600,['brute force']
skittles1412,818:D,1595803977,1700,"['data structures', 'implementation']"
skittles1412,1384:C,1595610755,1700,"['dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings', 'trees']"
skittles1412,459:E,1595600409,1900,"['dp', 'sortings']"
skittles1412,383:D,1595548935,2300,['dp']
skittles1412,753:A,1595541829,1000,"['dp', 'greedy', 'math']"
skittles1412,753:B,1595541611,1600,"['brute force', 'constructive algorithms', 'implementation']"
skittles1412,753:C,1595541579,2500,"['brute force', 'constructive algorithms', 'interactive']"
skittles1412,724:B,1595523435,1500,"['brute force', 'greedy', 'implementation', 'math']"
skittles1412,725:C,1595519164,1600,"['brute force', 'constructive algorithms', 'implementation', 'strings']"
skittles1412,47:D,1595441708,2200,['brute force']
skittles1412,46:C,1595438099,1600,['two pointers']
skittles1412,879:C,1595437650,1600,"['bitmasks', 'constructive algorithms', 'graph matchings']"
skittles1412,887:B,1595431869,1300,"['brute force', 'implementation']"
